image name,plantid,width (pixel),width (cm),height (pixel),height (cm),number of lr,total root length (pixel),total root length (cm),pr length (pixel),pr length (cm),lr length (pixel),lr length (cm),tip depth (pixel),tip depth (cm),pr tip depth (pixel),pr tip depth (cm),lr tip depth (pixel),lr tip depth (cm),sdx,sdy,sdx/sdy,convex hull area (pixel),convex hull area (cm2),average angle
../Traces\A-06-19-24\A-06-19-24-001.traces,1,79,0.2515923566878981,144,0.4585987261146497,0,178.30865786510142,0.5678619677232529,178.30865786510142,0.5678619677232529,0.0,0.0,144.0,0.4585987261146497,144.0,0.4585987261146497,,,21.37214685533437,41.95694802447319,0.5093827807224718,1039.0,0.0105379528581281,24.35796153264436
../Traces\A-06-19-24\A-06-19-24-001.traces,2,60,0.1910828025477707,88,0.2802547770700637,0,203.6812408671319,0.6486663721883181,203.6812408671319,0.6486663721883181,0.0,0.0,88.0,0.2802547770700637,88.0,0.2802547770700637,,,18.55730876732255,26.941456481385902,0.6888012450308306,3797.5,0.0385157612884904,55.79711906118223
../Traces\A-06-19-24\A-06-19-24-001.traces,3,19,0.0605095541401273,199,0.6337579617834395,0,220.6690475583121,0.7027676673831597,220.6690475583121,0.7027676673831597,0.0,0.0,199.0,0.6337579617834395,199.0,0.6337579617834395,,,4.925254926871761,59.79703230963842,0.0823662101050102,1919.0,0.0194632642297861,5.101314450241939
../Traces\A-06-19-24\A-06-19-24-001.traces,4,48,0.1528662420382165,234,0.7452229299363057,0,271.27922061357856,0.863946562463626,271.27922061357856,0.863946562463626,0.0,0.0,234.0,0.7452229299363057,234.0,0.7452229299363057,,,13.377399642159798,67.83804242458652,0.1971961330846338,6807.5,0.0690443831392754,17.981885932682296
../Traces\A-06-19-24\A-06-19-24-001.traces,5,132,0.4203821656050955,231,0.7356687898089171,0,372.49242404917504,1.18628160525215,372.49242404917504,1.18628160525215,0.0,0.0,231.0,0.7356687898089171,231.0,0.7356687898089171,,,33.91657999460975,73.79958472264028,0.4595768407380319,16202.5,0.1643322244310114,36.108440045066274
../Traces\A-06-19-24\A-06-19-24-001.traces,6,219,0.697452229299363,324,1.0318471337579618,0,423.2274887854693,1.3478582445397111,423.2274887854693,1.3478582445397111,0.0,0.0,324.0,1.0318471337579618,324.0,1.0318471337579618,,,65.00906094180371,94.88017411515372,0.6851701269319324,5999.0,0.0608442533165645,33.357837013106504
../Traces\A-06-19-24\A-06-19-24-001.traces,7,6,0.019108280254777,66,0.2101910828025477,0,75.21320343559643,0.239532495017823,75.21320343559643,0.239532495017823,0.0,0.0,66.0,0.2101910828025477,66.0,0.2101910828025477,,,1.886579887910763,20.065957566516094,0.0940189313994605,336.0,0.0034078461600876,3.527125866682347
../Traces\A-06-19-24\A-06-19-24-001.traces,8,24,0.0764331210191082,66,0.2101910828025477,0,75.94112549695429,0.2418507181431665,75.94112549695429,0.2418507181431665,0.0,0.0,66.0,0.2101910828025477,66.0,0.2101910828025477,,,7.4239892207694,19.33907960581372,0.3838853436715571,189.5,0.0019219846646922,18.0136866925518
../Traces\A-06-19-24\A-06-19-24-002.traces,1,49,0.1560509554140127,86,0.2738853503184713,0,128.71067811865476,0.4099066182122763,128.71067811865476,0.4099066182122763,0.0,0.0,86.0,0.2738853503184713,86.0,0.2738853503184713,,,13.52365153147946,26.777837944830036,0.5050314950498256,1990.5,0.0201884457787334,30.11645051033464
../Traces\A-06-19-24\A-06-19-24-002.traces,2,8,0.0254777070063694,144,0.4585987261146497,0,150.62741699796953,0.4797051496750622,150.62741699796953,0.4797051496750622,0.0,0.0,144.0,0.4585987261146497,144.0,0.4585987261146497,,,2.3318504998958334,41.8568990729127,0.0557100633717242,833.0,0.0084486186052172,5.504392825820443
../Traces\A-06-19-24\A-06-19-24-002.traces,3,142,0.4522292993630573,294,0.9363057324840764,0,360.4751801064719,1.1480101277276176,360.4751801064719,1.1480101277276176,0.0,0.0,294.0,0.9363057324840764,294.0,0.9363057324840764,,,35.18752912205074,86.16923405104482,0.4083537414433369,6503.5,0.065961093756339,23.1083114824083
../Traces\A-06-19-24\A-06-19-24-002.traces,4,32,0.1019108280254777,306,0.9745222929936306,0,336.50966799187813,1.0716868407384654,336.50966799187813,1.0716868407384654,0.0,0.0,306.0,0.9745222929936306,306.0,0.9745222929936306,,,9.893955986897616,89.65855996689503,0.1103514933827935,3643.0,0.0369487605988072,11.364275296734244
../Traces\A-06-19-24\A-06-19-24-002.traces,5,60,0.1910828025477707,391,1.2452229299363058,0,454.0904037956217,1.446147782788604,454.0904037956217,1.446147782788604,0.0,0.0,391.0,1.2452229299363058,391.0,1.2452229299363058,,,14.936004946102557,115.3464531043326,0.129488203097088,14142.0,0.1434338107022597,14.42294527997651
../Traces\A-06-19-24\A-06-19-24-002.traces,6,72,0.2292993630573248,306,0.9745222929936306,0,396.1147904132612,1.2615120713798127,396.1147904132612,1.2615120713798127,0.0,0.0,306.0,0.9745222929936306,306.0,0.9745222929936306,,,20.13681522682111,89.2870922495057,0.2255288499097985,15155.0,0.1537080611789525,28.868059118051598
../Traces\A-06-19-24\A-06-19-24-002.traces,7,38,0.1210191082802547,144,0.4585987261146497,0,161.15432893255073,0.5132303469189513,161.15432893255073,0.5132303469189513,0.0,0.0,144.0,0.4585987261146497,144.0,0.4585987261146497,,,14.004162920200375,41.73686492974776,0.335534615351978,1570.5,0.0159286380786238,9.865998275192078
../Traces\A-06-19-24\A-06-19-24-002.traces,8,9,0.0286624203821656,84,0.267515923566879,0,91.45584412271572,0.291260650072343,91.45584412271572,0.291260650072343,0.0,0.0,84.0,0.267515923566879,84.0,0.267515923566879,,,2.7136971550147138,24.535688292770597,0.1106020390638195,392.5,0.0039808917197452,3.288602314361455
../Traces\A-06-19-24\A-06-19-24-003.traces,1,8,0.0254777070063694,78,0.2484076433121019,0,84.62741699796953,0.2695140668725144,84.62741699796953,0.2695140668725144,0.0,0.0,78.0,0.2484076433121019,78.0,0.2484076433121019,,,2.7958354819804607,22.80350850198276,0.1226054965067048,296.0,0.0030021501886486,5.246066368503271
../Traces\A-06-19-24\A-06-19-24-003.traces,2,54,0.1719745222929936,43,0.1369426751592356,0,71.8111831820431,0.2286980356116022,71.8111831820431,0.2286980356116022,0.0,0.0,43.0,0.1369426751592356,43.0,0.1369426751592356,,,15.874507866387544,14.052981213669064,1.1296185218654329,228.0,0.0023124670372023,45.0
../Traces\A-06-19-24\A-06-19-24-003.traces,3,9,0.0286624203821656,246,0.7834394904458599,0,256.7695526217005,0.8177374287315302,256.7695526217005,0.8177374287315302,0.0,0.0,246.0,0.7834394904458599,246.0,0.7834394904458599,,,2.106228367962303,71.30217387990355,0.0295394691823826,1433.5,0.0145391293764452,2.244470107081705
